"fecha","local","gl","visitante","gv","arbitro","timestamp"
"1","Argentinos Juniors","2","Atletico Rafaela","0","Pablo Lunati","2015-02-15 19:10:00"
"1","Arsenal de Sarandí","0","Estudiantes La Plata","1","Darío Herrera","2015-02-16 18:00:00"
"1","Banfield","0","Temperley","1","Silvio Trucco","2015-02-14 20:30:00"
"1","Belgrano","3","Nueva Chicago","1","Mariano González","2015-02-16 21:10:00"
"1","Boca Juniors","3","Olimpo","1","Fernando Echenique","2015-02-15 18:15:00"
"1","Crucero del Norte","0","Tigre","0","Juan Pablo Pompei","2015-02-14 21:30:00"
"1","Gimnasia La Plata","0","Defensa y Justicia","1","Pablo Diaz","2015-02-14 17:00:00"
"1","Godoy Cruz","1","San Martín San Juan","1","Germán Delfino","2015-02-14 19:15:00"
"1","Newell's Old Boys","2","Independiente","3","Fernando Rapallini","2015-02-14 20:01:00"
"1","Quilmes","0","Lanús","1","Carlos Maglio","2015-02-15 17:00:00"
"1","Racing Club","0","Rosario Central","1","Néstor Pitana","2015-02-13 21:10:00"
"1","Sarmiento","1","River Plate","4","Patricio Loustau","2015-02-15 21:30:00"
"1","San Lorenzo","2","Colón","0","Saúl Laverni","2015-02-14 17:00:00"
"1","Unión Santa Fe","1","CA Huracán","0","Mauro Vigliano","2015-02-15 17:00:00"
"1","Vélez Sarsfield","2","Aldosivi","0","Diego Abal","2015-02-13 18:00:00"
"2","Aldosivi","0","Newell's Old Boys","1","Patricio Loustau","2015-02-22 17:00:00"
"2","Rosario Central","2","Tigre","1","Diego Ceballos","2015-02-21 19:15:00"
"2","Nueva Chicago","2","Unión Santa Fe","2","Pedro Argañaraz","2015-02-22 17:00:00"
"2","Colón","1","Argentinos Juniors","1","Juan Pablo Pompei","2015-02-22 19:10:00"
"2","Defensa y Justicia","1","San Lorenzo","2","Fernando Echenique","2015-02-23 21:10:00"
"2","Estudiantes La Plata","2","Godoy Cruz","1","Pablo Diaz","2015-02-21 17:15:00"
"2","CA Huracán","1","Arsenal de Sarandí","0","Silvio Trucco","2015-02-21 17:00:00"
"2","Independiente","1","Sarmiento","1","Federico Beligoy","2015-02-22 17:00:00"
"2","Lanús","0","Belgrano","0","Darío Herrera","2015-02-23 18:00:00"
"2","Olimpo","0","Racing Club","0","Diego Abal","2015-02-21 20:01:00"
"2","Atletico Rafaela","1","Banfield","4","Germán Delfino","2015-02-20 21:10:00"
"2","River Plate","2","Quilmes","2","Mauro Vigliano","2015-02-22 18:15:00"
"2","San Martín San Juan","1","Gimnasia La Plata","1","Sergio Pezzotta","2015-02-21 21:30:00"
"2","Temperley","0","Boca Juniors","2","Fernando Rapallini","2015-02-22 21:30:00"
"2","Vélez Sarsfield","2","Crucero del Norte","1","Saúl Laverni","2015-02-21 20:30:00"
"3","Argentinos Juniors","1","Defensa y Justicia","0","Federico Beligoy","2015-03-01 19:15:00"
"3","Arsenal de Sarandí","1","Nueva Chicago","1","Juan Pablo Pompei","2015-02-27 18:00:00"
"3","Banfield","0","Colón","0","Sergio Pezzotta","2015-03-02 20:15:00"
"3","Belgrano","1","River Plate","2","Germán Delfino","2015-03-01 21:30:00"
"3","Boca Juniors","1","Atletico Rafaela","0","Darío Herrera","2015-03-01 18:15:00"
"3","Crucero del Norte","0","Rosario Central","1","Mauro Vigliano","2015-02-28 18:00:00"
"3","Gimnasia La Plata","1","Estudiantes La Plata","3","Néstor Pitana","2015-03-01 17:00:00"
"3","Godoy Cruz","2","CA Huracán","1","Luis Álvarez","2015-02-27 21:10:00"
"3","Newell's Old Boys","0","Vélez Sarsfield","0","Fernando Echenique","2015-03-02 21:10:00"
"3","Quilmes","1","Independiente","2","Patricio Loustau","2015-02-28 20:10:00"
"3","Racing Club","2","Temperley","1","Saúl Laverni","2015-03-01 19:15:00"
"3","Sarmiento","2","Aldosivi","2","Pedro Argañaraz","2015-03-02 18:00:00"
"3","San Lorenzo","1","San Martín San Juan","2","Diego Abal","2015-02-28 20:30:00"
"3","Tigre","1","Olimpo","0","Pablo Diaz","2015-02-28 17:00:00"
"3","Unión Santa Fe","1","Lanús","1","Silvio Trucco","2015-02-28 19:15:00"
"4","Aldosivi","1","Quilmes","1","Darío Herrera","2015-03-07 19:15:00"
"4","Nueva Chicago","0","Godoy Cruz","2","Sergio Pezzotta","2015-03-07 17:00:00"
"4","Colón","1","Boca Juniors","1","Germán Delfino","2015-03-08 21:30:00"
"4","Defensa y Justicia","1","Banfield","0","Mariano González","2015-03-08 17:00:00"
"4","Estudiantes La Plata","0","San Lorenzo","2","Silvio Trucco","2015-03-09 21:10:00"
"4","CA Huracán","1","Gimnasia La Plata","1","Diego Abal","2015-03-06 18:00:00"
"4","Independiente","1","Belgrano","2","Diego Ceballos","2015-03-07 20:10:00"
"4","Lanús","0","Arsenal de Sarandí","0","Mauro Vigliano","2015-03-08 17:00:00"
"4","Newell's Old Boys","2","Crucero del Norte","0","Ariel Penel","2015-03-07 20:30:00"
"4","Olimpo","1","Rosario Central","3","Federico Beligoy","2015-03-07 18:00:00"
"4","Atletico Rafaela","1","Racing Club","1","Jorge Baliño","2015-03-06 21:10:00"
"4","River Plate","2","Unión Santa Fe","2","Patricio Loustau","2015-03-08 18:15:00"
"4","San Martín San Juan","0","Argentinos Juniors","0","Néstor Pitana","2015-03-08 19:15:00"
"4","Temperley","1","Tigre","1","Pedro Argañaraz","2015-03-09 20:01:00"
"4","Vélez Sarsfield","1","Sarmiento","1","Fernando Espinoza","2015-03-08 17:00:00"
"5","Argentinos Juniors","2","Estudiantes La Plata","2","Patricio Loustau","2015-03-15 18:10:00"
"5","Arsenal de Sarandí","3","River Plate","3","Darío Herrera","2015-03-16 21:10:00"
"5","Banfield","3","San Martín San Juan","2","Diego Ceballos","2015-03-14 16:00:00"
"5","Belgrano","0","Aldosivi","1","Sergio Pezzotta","2015-03-16 20:01:00"
"5","Boca Juniors","2","Defensa y Justicia","1","Jorge Baliño","2015-03-14 18:15:00"
"5","Crucero del Norte","0","Olimpo","0","Pablo Lunati","2015-03-13 18:00:00"
"5","Rosario Central","1","Temperley","0","Juan Pablo Pompei","2015-03-16 16:00:00"
"5","Gimnasia La Plata","2","Nueva Chicago","1","Germán Delfino","2015-03-17 16:00:00"
"5","Godoy Cruz","1","Lanús","5","Diego Abal","2015-03-15 21:30:00"
"5","Quilmes","2","Vélez Sarsfield","1","Pablo Diaz","2015-03-15 17:00:00"
"5","Racing Club","4","Colón","1","Luis Álvarez","2015-03-13 21:10:00"
"5","Sarmiento","1","Newell's Old Boys","2","Silvio Trucco","2015-03-14 20:30:00"
"5","San Lorenzo","3","CA Huracán","1","Saúl Laverni","2015-03-15 18:15:00"
"5","Tigre","2","Atletico Rafaela","1","Fernando Echenique","2015-03-15 18:15:00"
"5","Unión Santa Fe","1","Independiente","1","Mauro Vigliano","2015-03-14 20:10:00"
"6","Aldosivi","3","Unión Santa Fe","3","Mario Ejarque","2015-03-23 18:10:00"
"6","Nueva Chicago","0","San Lorenzo","1","Pablo Lunati","2015-03-23 16:00:00"
"6","Colón","0","Tigre","1","Sergio Pezzotta","2015-03-21 17:00:00"
"6","Defensa y Justicia","1","Racing Club","1","Mauro Vigliano","2015-03-22 17:00:00"
"6","Estudiantes La Plata","1","Banfield","2","Juan Pablo Pompei","2015-03-22 17:00:00"
"6","CA Huracán","4","Argentinos Juniors","0","Fernando Echenique","2015-03-21 20:30:00"
"6","Independiente","4","Arsenal de Sarandí","0","Silvio Trucco","2015-03-21 20:10:00"
"6","Lanús","2","Gimnasia La Plata","0","Jorge Baliño","2015-03-20 21:10:00"
"6","Newell's Old Boys","1","Quilmes","1","Mariano González","2015-03-20 20:30:00"
"6","Atletico Rafaela","1","Rosario Central","1","Germán Delfino","2015-03-22 16:00:00"
"6","River Plate","1","Godoy Cruz","0","Diego Ceballos","2015-03-22 18:15:00"
"6","Sarmiento","2","Crucero del Norte","1","Pedro Argañaraz","2015-03-21 20:30:00"
"6","San Martín San Juan","1","Boca Juniors","1","Patricio Loustau","2015-03-22 21:30:00"
"6","Temperley","0","Olimpo","0","Néstor Pitana","2015-03-23 21:10:00"
"6","Vélez Sarsfield","1","Belgrano","2","Diego Abal","2015-03-21 18:00:00"
"7","Argentinos Juniors","1","Nueva Chicago","1","Darío Herrera","2015-03-30 22:10:00"
"7","Arsenal de Sarandí","0","Aldosivi","3","Ariel Penel","2015-04-25 16:00:00"
"7","Banfield","1","CA Huracán","0","Germán Delfino","2015-03-28 20:01:00"
